"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","15,242,518","100"
"2","www.blogger.com","31,293,413","100"
"3","youtube.com","24,337,774","100"
"4","linkedin.com","13,283,935","99"
"5","support.google.com","5,722,094","99"
"6","microsoft.com","5,583,580","99"
"7","cloudflare.com","8,153,287","99"
"8","apple.com","6,845,752","99"
"9","docs.google.com","3,641,434","98"
"10","maps.google.com","6,197,657","98"
"11","en.wikipedia.org","7,205,219","98"
"12","play.google.com","4,011,355","98"
"13","wordpress.org","12,519,421","98"
"14","mozilla.org","2,589,827","98"
"15","youtu.be","5,438,270","98"
"16","plus.google.com","10,984,308","97"
"17","t.me","1,806,311","97"
"18","sites.google.com","2,400,517","97"
"19","bp.blogspot.com","18,325,089","97"
"20","googleusercontent.com","3,954,759","97"
"21","accounts.google.com","2,557,379","97"
"22","drive.google.com","2,679,877","97"
"23","whatsapp.com","4,759,573","97"
"24","europa.eu","2,433,112","97"
"25","facebook.com","61,965,531","96"
"26","adobe.com","2,882,379","96"
"27","github.com","3,163,712","96"
"28","policies.google.com","3,524,958","96"
"29","vk.com","1,870,431","96"
"30","uol.com.br","694,392","96"
"31","istockphoto.com","3,726,827","96"
"32","vimeo.com","3,634,262","96"
"33","amazon.com","5,152,155","96"
"34","goo.gl","5,168,882","95"
"35","wikimedia.org","2,113,770","95"
"36","search.google.com","1,824,865","95"
"37","files.wordpress.com","7,669,758","95"
"38","line.me","1,117,213","95"
"39","pt.wikipedia.org","426,308","95"
"40","fr.wikipedia.org","659,203","95"
"41","bbc.co.uk","1,751,408","95"
"42","imdb.com","1,560,520","95"
"43","nih.gov","1,586,846","95"
"44","google.de","1,084,870","95"
"45","dailymotion.com","1,133,397","95"
"46","google.es","480,934","95"
"47","www.yahoo.com","1,311,786","95"
"48","creativecommons.org","1,780,174","95"
"49","news.google.com","869,336","95"
"50","brandbucket.com","11,176,824","95"
"51","workspace.google.com","777,445","95"
"52","wa.me","2,050,947","95"
"53","who.int","2,039,922","95"
"54","ok.ru","378,671","95"
"55","live.com","1,022,951","95"
"56","nytimes.com","2,219,642","95"
"57","gstatic.com","642,194","95"
"58","w3.org","1,146,649","95"
"59","paypal.com","1,189,132","95"
"60","mail.google.com","692,889","95"
"61","opera.com","1,036,171","95"
"62","developers.google.com","1,170,416","95"
"63","tiktok.com","1,481,804","95"
"64","draft.blogger.com","12,471,095","95"
"65","googleblog.com","4,497,383","95"
"66","tools.google.com","1,855,452","95"
"67","jimdofree.com","1,701,242","95"
"68","slideshare.net","1,003,517","95"
"69","cpanel.net","2,157,312","95"
"70","medium.com","1,866,046","95"
"71","theguardian.com","1,608,221","95"
"72","netvibes.com","1,237,552","95"
"73","feedburner.com","1,795,047","95"
"74","google.com.br","298,790","95"
"75","myspace.com","1,367,062","95"
"76","globo.com","468,032","95"
"77","cnn.com","1,672,351","95"
"78","dropbox.com","1,125,992","95"
"79","gravatar.com","12,678,044","95"
"80","dan.com","4,327,736","95"
"81","www.weebly.com","6,837,568","95"
"82","enable-javascript.com","6,299,045","95"
"83","es.wikipedia.org","995,379","95"
"84","forbes.com","1,489,700","94"
"85","namecheap.com","1,077,890","94"
"86","forms.gle","964,056","94"
"87","archive.org","1,389,244","94"
"88","plesk.com","716,574","94"
"89","mirror.co.uk","428,111","94"
"90","marketingplatform.google....","917,276","94"
"91","afternic.com","2,592,985","94"
"92","wp.com","2,248,630","94"
"93","storage.googleapis.com","1,113,611","94"
